TrackingID,BookingDate,PickupDate,DeliveryDate,OriginCity,DestinationCity,WeightKg,PackageType,ServiceType,DeliveryMode,Price,Status,DelayReason,DeliveryDelayDays,ProcessingTimeHours,ExpectedDays,IsDelayed,BookingMonth,BookingDay,BookingHour,PickupHour,IsInterCity,IsPeakHour,FromMajorCity,ToMajorCity
DAW00014,2024-01-01 14:00:00,2024-01-01 18:00:00,2024-01-05 01:00:00,Rawalpindi,Sukkur,0.66,Parcel,Economy,Ground,4758.09,Delivered,Traffic,3,4.0,4,0,1,1,14,18,1,1,0,0
DAW00015,2024-01-01 15:00:00,2024-01-01 17:00:00,2024-01-05 18:00:00,Karachi,Gujranwala,37.95,Documents,Economy,Bus,1779.57,Delayed,Operational,4,2.0,4,0,1,1,15,17,1,1,1,0
DAW00016,2024-01-01 16:00:00,2024-01-01 20:00:00,2024-01-03 22:00:00,Karachi,Multan,57.29,Parcel,Economy,Bus,655.38,Delayed,Weather,2,4.0,4,0,1,1,16,20,1,0,1,0
DAW00017,2024-01-01 17:00:00,2024-01-01 22:00:00,2024-01-04 21:00:00,Karachi,Multan,48.13,Parcel,Economy,Bus,4984.87,Delayed,Weather,2,5.0,4,0,1,1,17,22,1,0,1,0
DAW00018,2024-01-01 18:00:00,2024-01-01 19:00:00,2024-01-04 04:00:00,Karachi,Quetta,86.28,Documents,Express,Ground,1485.66,Delayed,Weather,2,1.0,2,0,1,1,18,19,1,0,1,0
DAW00019,2024-01-01 19:00:00,2024-01-01 23:00:00,2024-01-05 03:00:00,Quetta,Faisalabad,10.99,Documents,Overnight,Bus,4286.04,Delivered,None,3,4.0,1,1,1,1,19,23,1,0,0,0
DAW00020,2024-01-01 20:00:00,2024-01-01 22:00:00,2024-01-04 01:00:00,Islamabad,Islamabad,55.61,Documents,Economy,Bus,994.6,Delivered,None,2,2.0,4,0,1,1,20,22,0,0,1,1
DAW00021,2024-01-01 21:00:00,2024-01-02 02:00:00,2024-01-05 04:00:00,Multan,Islamabad,51.54,Cargo,Economy,Bus,3710.5,Delivered,Operational,3,5.0,4,0,1,1,21,2,1,0,0,1
DAW00022,2024-01-01 22:00:00,2024-01-02 02:00:00,2024-01-06 00:00:00,Islamabad,Multan,28.5,Documents,Express,Bus,2717.36,Delivered,None,3,4.0,2,1,1,1,22,2,1,0,1,0
DAW00023,2024-01-01 23:00:00,2024-01-02 00:00:00,2024-01-06 08:00:00,Gujranwala,Lahore,82.31,Documents,Economy,Bus,4908.35,Delayed,Operational,4,1.0,4,0,1,1,23,0,1,0,0,1
DAW00024,2024-01-02 00:00:00,2024-01-02 01:00:00,2024-01-05 01:00:00,Faisalabad,Multan,75.41,Parcel,Overnight,Bus,2853.59,Delivered,Weather,3,1.0,1,1,1,2,0,1,1,0,0,0
DAW00025,2024-01-02 01:00:00,2024-01-02 04:00:00,2024-01-05 22:00:00,Peshawar,Multan,73.42,Parcel,Economy,Bus,320.07,Delivered,None,3,3.0,4,0,1,2,1,4,1,0,0,0
DAW00026,2024-01-02 02:00:00,2024-01-02 05:00:00,2024-01-05 06:00:00,Lahore,Quetta,87.68,Documents,Same Day,Ground,3098.61,Delayed,Operational,3,3.0,1,1,1,2,2,5,1,0,1,0
DAW00027,2024-01-02 03:00:00,2024-01-02 05:00:00,2024-01-04 06:00:00,Multan,Peshawar,72.42,Parcel,Economy,Bus,897.52,Delayed,Weather,2,2.0,4,0,1,2,3,5,1,0,0,0
DAW00028,2024-01-02 04:00:00,2024-01-02 08:00:00,2024-01-04 16:00:00,Multan,Quetta,23.57,Documents,Economy,Bus,4033.0,Delayed,Weather,2,4.0,4,0,1,2,4,8,1,1,0,0
DAW00029,2024-01-02 05:00:00,2024-01-02 09:00:00,2024-01-05 19:00:00,Gujranwala,Sukkur,70.7,Cargo,Overnight,Ground,4311.53,Delivered,Traffic,3,4.0,1,1,1,2,5,9,1,1,0,0
DAW00030,2024-01-02 06:00:00,2024-01-02 09:00:00,2024-01-04 20:00:00,Islamabad,Multan,31.12,Documents,Express,Bus,2514.05,Delivered,None,2,3.0,2,0,1,2,6,9,1,1,1,0
DAW00031,2024-01-02 07:00:00,2024-01-02 11:00:00,2024-01-05 11:00:00,Multan,Islamabad,24.6,Documents,Express,Ground,3959.46,Delivered,Traffic,3,4.0,2,1,1,2,7,11,1,1,0,1
DAW00032,2024-01-02 08:00:00,2024-01-02 12:00:00,2024-01-05 12:00:00,Hyderabad,Hyderabad,7.76,Parcel,Express,Bus,896.53,Delivered,None,3,4.0,2,1,1,2,8,12,0,1,0,0
DAW00033,2024-01-02 09:00:00,2024-01-02 10:00:00,2024-01-05 16:00:00,Hyderabad,Islamabad,74.53,Documents,Express,Bus,2561.98,Delayed,Traffic,3,1.0,2,1,1,2,9,10,1,1,0,1
DAW00034,2024-01-02 10:00:00,2024-01-02 13:00:00,2024-01-04 11:00:00,Faisalabad,Gujranwala,71.24,Parcel,Economy,Bus,2090.93,Delivered,None,1,3.0,4,0,1,2,10,13,1,1,0,0
DAW00035,2024-01-02 11:00:00,2024-01-02 16:00:00,2024-01-06 09:00:00,Lahore,Karachi,23.83,Documents,Express,Bus,3134.32,Delayed,None,3,5.0,2,1,1,2,11,16,1,1,1,1
DAW00036,2024-01-02 12:00:00,2024-01-02 15:00:00,2024-01-05 09:00:00,Sukkur,Gujranwala,75.06,Documents,Economy,Ground,413.49,Delivered,None,2,3.0,4,0,1,2,12,15,1,1,0,0
DAW00037,2024-01-02 13:00:00,2024-01-02 18:00:00,2024-01-05 15:00:00,Quetta,Faisalabad,91.83,Parcel,Overnight,Bus,3810.19,Delayed,Traffic,2,5.0,1,1,1,2,13,18,1,1,0,0
DAW00038,2024-01-02 14:00:00,2024-01-02 15:00:00,2024-01-07 08:00:00,Islamabad,Rawalpindi,11.25,Parcel,Same Day,Bus,579.82,Delivered,None,4,1.0,1,1,1,2,14,15,1,1,1,0
DAW00039,2024-01-02 15:00:00,2024-01-02 17:00:00,2024-01-06 22:00:00,Quetta,Sukkur,23.65,Parcel,Economy,Bus,3351.06,Delayed,None,4,2.0,4,0,1,2,15,17,1,1,0,0
DAW00040,2024-01-02 16:00:00,2024-01-02 20:00:00,2024-01-05 12:00:00,Sukkur,Sukkur,75.15,Documents,Economy,Bus,288.59,Delivered,None,2,4.0,4,0,1,2,16,20,0,0,0,0
DAW00041,2024-01-02 17:00:00,2024-01-02 18:00:00,2024-01-06 15:00:00,Islamabad,Faisalabad,27.81,Documents,Economy,Bus,4193.06,Delivered,None,3,1.0,4,0,1,2,17,18,1,1,1,0
DAW00042,2024-01-02 18:00:00,2024-01-02 22:00:00,2024-01-07 04:00:00,Islamabad,Hyderabad,62.65,Documents,Economy,Bus,1038.56,Delivered,None,4,4.0,4,0,1,2,18,22,1,0,1,0
DAW00043,2024-01-02 19:00:00,2024-01-02 21:00:00,2024-01-05 00:00:00,Lahore,Rawalpindi,8.58,Documents,Overnight,Bus,2674.39,Delivered,Traffic,2,2.0,1,1,1,2,19,21,1,0,1,0
DAW00044,2024-01-02 20:00:00,2024-01-02 22:00:00,2024-01-05 14:00:00,Quetta,Peshawar,45.49,Parcel,Economy,Ground,1455.17,Delayed,Weather,2,2.0,4,0,1,2,20,22,1,0,0,0
DAW00045,2024-01-02 21:00:00,2024-01-02 22:00:00,2024-01-07 05:00:00,Hyderabad,Multan,74.04,Parcel,Economy,Bus,3668.71,Delivered,None,4,1.0,4,0,1,2,21,22,1,0,0,0
DAW00046,2024-01-02 22:00:00,2024-01-03 00:00:00,2024-01-07 18:00:00,Karachi,Rawalpindi,68.81,Documents,Overnight,Ground,1742.49,Delivered,None,4,2.0,1,1,1,2,22,0,1,0,1,0
DAW00047,2024-01-02 23:00:00,2024-01-03 04:00:00,2024-01-05 01:00:00,Quetta,Hyderabad,81.6,Documents,Overnight,Ground,3678.12,Delayed,Traffic,1,5.0,1,0,1,2,23,4,1,0,0,0
DAW00048,2024-01-03 00:00:00,2024-01-03 02:00:00,2024-01-05 00:00:00,Peshawar,Lahore,87.81,Documents,Express,Bus,1567.38,Delayed,Traffic,1,2.0,2,0,1,3,0,2,1,0,0,1
DAW00049,2024-01-03 01:00:00,2024-01-03 05:00:00,2024-01-07 10:00:00,Peshawar,Karachi,77.43,Documents,Express,Ground,3811.87,Delivered,Traffic,4,4.0,2,1,1,3,1,5,1,0,0,1
DAW00050,2024-01-03 02:00:00,2024-01-03 06:00:00,2024-01-06 15:00:00,Islamabad,Rawalpindi,67.32,Documents,Express,Ground,346.91,Delivered,None,3,4.0,2,1,1,3,2,6,1,0,1,0
DAW00051,2024-01-03 03:00:00,2024-01-03 07:00:00,2024-01-05 17:00:00,Karachi,Rawalpindi,3.66,Cargo,Same Day,Bus,1559.89,Delayed,Operational,2,4.0,1,1,1,3,3,7,1,0,1,0
DAW00052,2024-01-03 04:00:00,2024-01-03 08:00:00,2024-01-06 13:00:00,Rawalpindi,Karachi,53.73,Parcel,Express,Air,2593.44,Delayed,Weather,3,4.0,2,1,1,3,4,8,1,1,0,1
DAW00053,2024-01-03 05:00:00,2024-01-03 10:00:00,2024-01-07 17:00:00,Sukkur,Multan,4.25,Cargo,Express,Bus,416.29,Delivered,None,4,5.0,2,1,1,3,5,10,1,1,0,0
DAW00054,2024-01-03 06:00:00,2024-01-03 09:00:00,2024-01-06 16:00:00,Faisalabad,Rawalpindi,80.9,Parcel,Economy,Bus,1092.96,Delayed,Operational,3,3.0,4,0,1,3,6,9,1,1,0,0
DAW00055,2024-01-03 07:00:00,2024-01-03 08:00:00,2024-01-07 22:00:00,Karachi,Karachi,32.41,Parcel,Economy,Ground,4685.78,Delivered,None,4,1.0,4,0,1,3,7,8,0,1,1,1
DAW00056,2024-01-03 08:00:00,2024-01-03 12:00:00,2024-01-06 08:00:00,Faisalabad,Karachi,56.46,Parcel,Express,Bus,4888.8,Delivered,None,2,4.0,2,0,1,3,8,12,1,1,0,1
DAW00057,2024-01-03 09:00:00,2024-01-03 11:00:00,2024-01-06 08:00:00,Quetta,Karachi,28.3,Documents,Overnight,Bus,3750.8,Delivered,Traffic,2,2.0,1,1,1,3,9,11,1,1,0,1
DAW00058,2024-01-03 10:00:00,2024-01-03 14:00:00,2024-01-05 21:00:00,Quetta,Quetta,78.36,Parcel,Overnight,Bus,1410.56,Delivered,None,2,4.0,1,1,1,3,10,14,0,1,0,0
DAW00059,2024-01-03 11:00:00,2024-01-03 13:00:00,2024-01-06 04:00:00,Faisalabad,Hyderabad,88.71,Cargo,Same Day,Ground,1450.48,Delayed,Traffic,2,2.0,1,1,1,3,11,13,1,1,0,0
DAW00060,2024-01-03 12:00:00,2024-01-03 14:00:00,2024-01-06 02:00:00,Sukkur,Quetta,40.16,Documents,Express,Ground,3299.79,Delivered,None,2,2.0,2,0,1,3,12,14,1,1,0,0
DAW00061,2024-01-03 13:00:00,2024-01-03 17:00:00,2024-01-06 15:00:00,Karachi,Lahore,86.36,Parcel,Express,Bus,764.48,Delayed,Traffic,2,4.0,2,0,1,3,13,17,1,1,1,1
DAW00062,2024-01-03 14:00:00,2024-01-03 19:00:00,2024-01-08 13:00:00,Rawalpindi,Gujranwala,27.07,Documents,Overnight,Air,4751.89,Delayed,Weather,4,5.0,1,1,1,3,14,19,1,0,0,0
DAW00063,2024-01-03 15:00:00,2024-01-03 17:00:00,2024-01-08 02:00:00,Islamabad,Peshawar,53.7,Parcel,Express,Bus,1279.1,Delivered,None,4,2.0,2,1,1,3,15,17,1,1,1,0
DAW00064,2024-01-03 16:00:00,2024-01-03 18:00:00,2024-01-07 13:00:00,Lahore,Quetta,85.95,Cargo,Economy,Bus,4998.25,Delayed,Weather,3,2.0,4,0,1,3,16,18,1,1,1,0
DAW00065,2024-01-03 17:00:00,2024-01-03 21:00:00,2024-01-06 09:00:00,Quetta,Quetta,32.93,Parcel,Economy,Ground,2579.52,Delayed,Traffic,2,4.0,4,0,1,3,17,21,0,0,0,0
DAW00066,2024-01-03 18:00:00,2024-01-03 20:00:00,2024-01-07 22:00:00,Peshawar,Gujranwala,95.43,Parcel,Overnight,Ground,3902.86,Delayed,Weather,4,2.0,1,1,1,3,18,20,1,0,0,0
DAW00067,2024-01-03 19:00:00,2024-01-03 21:00:00,2024-01-06 02:00:00,Sukkur,Hyderabad,12.63,Parcel,Economy,Bus,210.48,Delayed,None,2,2.0,4,0,1,3,19,21,1,0,0,0
DAW00068,2024-01-03 20:00:00,2024-01-04 00:00:00,2024-01-06 22:00:00,Lahore,Gujranwala,2.32,Parcel,Overnight,Bus,4465.98,Delivered,Operational,2,4.0,1,1,1,3,20,0,1,0,1,0
DAW00069,2024-01-03 21:00:00,2024-01-04 01:00:00,2024-01-07 18:00:00,Rawalpindi,Peshawar,90.46,Cargo,Economy,Ground,1496.01,Delayed,Operational,3,4.0,4,0,1,3,21,1,1,0,0,0
DAW00070,2024-01-03 22:00:00,2024-01-03 23:00:00,2024-01-07 23:00:00,Multan,Faisalabad,7.33,Parcel,Express,Air,3406.1,Delayed,None,4,1.0,2,1,1,3,22,23,1,0,0,0
DAW00071,2024-01-03 23:00:00,2024-01-04 04:00:00,2024-01-08 21:00:00,Gujranwala,Karachi,99.19,Parcel,Express,Ground,4070.51,Delayed,Weather,4,5.0,2,1,1,3,23,4,1,0,0,1
DAW00072,2024-01-04 00:00:00,2024-01-04 05:00:00,2024-01-06 02:00:00,Islamabad,Sukkur,95.16,Parcel,Express,Bus,987.91,Delayed,Operational,1,5.0,2,0,1,4,0,5,1,0,1,0
DAW00073,2024-01-04 01:00:00,2024-01-04 03:00:00,2024-01-08 16:00:00,Quetta,Peshawar,14.13,Parcel,Economy,Air,2324.05,Delayed,Traffic,4,2.0,4,0,1,4,1,3,1,0,0,0
DAW00074,2024-01-04 02:00:00,2024-01-04 07:00:00,2024-01-07 21:00:00,Islamabad,Lahore,53.99,Parcel,Overnight,Ground,2570.41,Delivered,None,3,5.0,1,1,1,4,2,7,1,0,1,1
DAW00075,2024-01-04 03:00:00,2024-01-04 05:00:00,2024-01-08 07:00:00,Lahore,Multan,18.9,Parcel,Express,Bus,1698.17,Delivered,Operational,4,2.0,2,1,1,4,3,5,1,0,1,0
DAW00076,2024-01-04 04:00:00,2024-01-04 05:00:00,2024-01-07 03:00:00,Islamabad,Lahore,43.1,Parcel,Economy,Ground,2512.43,Delivered,None,2,1.0,4,0,1,4,4,5,1,0,1,1
DAW00077,2024-01-04 05:00:00,2024-01-04 09:00:00,2024-01-08 16:00:00,Gujranwala,Karachi,6.61,Documents,Express,Ground,1724.22,Delivered,None,4,4.0,2,1,1,4,5,9,1,1,0,1
DAW00078,2024-01-04 06:00:00,2024-01-04 10:00:00,2024-01-06 08:00:00,Multan,Peshawar,22.78,Documents,Economy,Air,1931.59,Delayed,Traffic,1,4.0,4,0,1,4,6,10,1,1,0,0
DAW00079,2024-01-04 07:00:00,2024-01-04 11:00:00,2024-01-07 02:00:00,Lahore,Lahore,36.65,Parcel,Economy,Ground,3412.79,Delivered,None,2,4.0,4,0,1,4,7,11,0,1,1,1
DAW00080,2024-01-04 08:00:00,2024-01-04 13:00:00,2024-01-08 05:00:00,Quetta,Lahore,44.15,Documents,Economy,Ground,3236.45,Delivered,None,3,5.0,4,0,1,4,8,13,1,1,0,1
DAW00081,2024-01-04 09:00:00,2024-01-04 10:00:00,2024-01-06 23:00:00,Karachi,Gujranwala,97.76,Documents,Overnight,Ground,1314.88,Delayed,Traffic,2,1.0,1,1,1,4,9,10,1,1,1,0
DAW00082,2024-01-04 10:00:00,2024-01-04 15:00:00,2024-01-07 10:00:00,Peshawar,Faisalabad,80.88,Parcel,Express,Bus,4507.92,Delayed,Weather,2,5.0,2,0,1,4,10,15,1,1,0,0
DAW00083,2024-01-04 11:00:00,2024-01-04 16:00:00,2024-01-09 09:00:00,Lahore,Faisalabad,73.87,Documents,Express,Ground,4341.39,Delivered,None,4,5.0,2,1,1,4,11,16,1,1,1,0
DAW00084,2024-01-04 12:00:00,2024-01-04 13:00:00,2024-01-07 04:00:00,Hyderabad,Peshawar,53.94,Documents,Economy,Ground,2643.6,Delayed,Operational,2,1.0,4,0,1,4,12,13,1,1,0,0
DAW00085,2024-01-04 13:00:00,2024-01-04 14:00:00,2024-01-06 21:00:00,Multan,Karachi,84.08,Parcel,Economy,Air,2279.6,Delayed,Operational,2,1.0,4,0,1,4,13,14,1,1,0,1
DAW00086,2024-01-04 14:00:00,2024-01-04 15:00:00,2024-01-08 03:00:00,Lahore,Quetta,34.26,Cargo,Same Day,Bus,2008.91,Delivered,None,3,1.0,1,1,1,4,14,15,1,1,1,0
DAW00087,2024-01-04 15:00:00,2024-01-04 16:00:00,2024-01-08 14:00:00,Lahore,Islamabad,71.04,Parcel,Express,Bus,3594.89,Delayed,None,3,1.0,2,1,1,4,15,16,1,1,1,1
DAW00088,2024-01-04 16:00:00,2024-01-04 20:00:00,2024-01-09 03:00:00,Hyderabad,Rawalpindi,99.38,Cargo,Overnight,Bus,3424.0,Delayed,Operational,4,4.0,1,1,1,4,16,20,1,0,0,0
DAW00089,2024-01-04 17:00:00,2024-01-04 20:00:00,2024-01-09 07:00:00,Quetta,Sukkur,31.81,Parcel,Economy,Ground,1141.67,Delayed,None,4,3.0,4,0,1,4,17,20,1,0,0,0
DAW00090,2024-01-04 18:00:00,2024-01-04 21:00:00,2024-01-06 19:00:00,Lahore,Rawalpindi,67.56,Documents,Economy,Ground,3423.0,Delivered,Mechanical,1,3.0,4,0,1,4,18,21,1,0,1,0
DAW00091,2024-01-04 19:00:00,2024-01-04 20:00:00,2024-01-09 18:00:00,Peshawar,Hyderabad,84.51,Parcel,Overnight,Bus,1411.67,Delayed,Operational,4,1.0,1,1,1,4,19,20,1,0,0,0
DAW00092,2024-01-04 20:00:00,2024-01-04 23:00:00,2024-01-07 06:00:00,Islamabad,Faisalabad,91.62,Parcel,Express,Bus,289.08,Delayed,Operational,2,3.0,2,0,1,4,20,23,1,0,1,0
DAW00093,2024-01-04 21:00:00,2024-01-05 00:00:00,2024-01-09 12:00:00,Quetta,Peshawar,71.93,Documents,Economy,Bus,3556.2,Delayed,Weather,4,3.0,4,0,1,4,21,0,1,0,0,0
DAW00094,2024-01-04 22:00:00,2024-01-04 23:00:00,2024-01-09 21:00:00,Peshawar,Rawalpindi,28.72,Documents,Economy,Bus,3295.01,Delivered,None,4,1.0,4,0,1,4,22,23,1,0,0,0
DAW00095,2024-01-04 23:00:00,2024-01-05 02:00:00,2024-01-07 19:00:00,Quetta,Karachi,32.97,Parcel,Overnight,Ground,2171.88,Delivered,None,2,3.0,1,1,1,4,23,2,1,0,0,1
DAW00096,2024-01-05 00:00:00,2024-01-05 05:00:00,2024-01-07 17:00:00,Peshawar,Sukkur,2.57,Documents,Economy,Bus,2723.29,Delivered,Weather,2,5.0,4,0,1,5,0,5,1,0,0,0
DAW00097,2024-01-05 01:00:00,2024-01-05 03:00:00,2024-01-09 16:00:00,Gujranwala,Rawalpindi,76.21,Parcel,Express,Bus,4746.41,Delivered,Weather,4,2.0,2,1,1,5,1,3,1,0,0,0
DAW00098,2024-01-05 02:00:00,2024-01-05 04:00:00,2024-01-08 15:00:00,Multan,Sukkur,4.75,Documents,Economy,Bus,3056.96,Delivered,None,3,2.0,4,0,1,5,2,4,1,0,0,0
DAW00099,2024-01-05 03:00:00,2024-01-05 04:00:00,2024-01-08 10:00:00,Peshawar,Multan,86.53,Parcel,Economy,Bus,3357.84,Delayed,Operational,3,1.0,4,0,1,5,3,4,1,0,0,0
DAW00100,2024-01-05 04:00:00,2024-01-05 08:00:00,2024-01-07 14:00:00,Faisalabad,Karachi,12.31,Parcel,Same Day,Ground,506.77,Delayed,None,2,4.0,1,1,1,5,4,8,1,1,0,1
DAW00101,2024-01-05 05:00:00,2024-01-05 06:00:00,2024-01-09 01:00:00,Peshawar,Islamabad,17.6,Documents,Economy,Bus,996.77,Delivered,None,3,1.0,4,0,1,5,5,6,1,0,0,1
DAW00102,2024-01-05 06:00:00,2024-01-05 10:00:00,2024-01-08 14:00:00,Karachi,Gujranwala,47.91,Documents,Express,Ground,1644.57,Delivered,None,3,4.0,2,1,1,5,6,10,1,1,1,0
DAW00103,2024-01-05 07:00:00,2024-01-05 09:00:00,2024-01-08 23:00:00,Karachi,Lahore,73.92,Parcel,Overnight,Bus,2789.02,Delayed,Traffic,3,2.0,1,1,1,5,7,9,1,1,1,1
DAW00104,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-07 15:00:00,Sukkur,Sukkur,14.33,Parcel,Economy,Bus,3927.64,Delivered,None,2,1.0,4,0,1,5,8,9,0,1,0,0
DAW00105,2024-01-05 09:00:00,2024-01-05 14:00:00,2024-01-07 19:00:00,Faisalabad,Karachi,44.29,Parcel,Economy,Bus,1741.96,Delayed,None,2,5.0,4,0,1,5,9,14,1,1,0,1
DAW00106,2024-01-05 10:00:00,2024-01-05 13:00:00,2024-01-09 12:00:00,Faisalabad,Sukkur,48.54,Parcel,Express,Ground,1910.64,Delayed,None,3,3.0,2,1,1,5,10,13,1,1,0,0
DAW00107,2024-01-05 11:00:00,2024-01-05 15:00:00,2024-01-09 03:00:00,Islamabad,Sukkur,21.62,Parcel,Economy,Bus,1429.52,Delayed,None,3,4.0,4,0,1,5,11,15,1,1,1,0
DAW00108,2024-01-05 12:00:00,2024-01-05 15:00:00,2024-01-08 04:00:00,Faisalabad,Quetta,12.0,Documents,Economy,Air,1422.12,Delayed,Operational,2,3.0,4,0,1,5,12,15,1,1,0,0
DAW00109,2024-01-05 13:00:00,2024-01-05 16:00:00,2024-01-09 10:00:00,Islamabad,Quetta,83.72,Documents,Economy,Ground,4754.55,Delayed,Traffic,3,3.0,4,0,1,5,13,16,1,1,1,0
DAW00110,2024-01-05 14:00:00,2024-01-05 15:00:00,2024-01-08 21:00:00,Sukkur,Gujranwala,50.5,Documents,Express,Bus,3250.19,Delivered,None,3,1.0,2,1,1,5,14,15,1,1,0,0
DAW00111,2024-01-05 15:00:00,2024-01-05 18:00:00,2024-01-09 20:00:00,Sukkur,Karachi,1.93,Parcel,Express,Ground,948.33,Delivered,Traffic,4,3.0,2,1,1,5,15,18,1,1,0,1
DAW00112,2024-01-05 16:00:00,2024-01-05 21:00:00,2024-01-08 11:00:00,Multan,Gujranwala,80.4,Documents,Express,Air,3666.79,Delayed,Weather,2,5.0,2,0,1,5,16,21,1,0,0,0
DAW00113,2024-01-05 17:00:00,2024-01-05 20:00:00,2024-01-09 01:00:00,Karachi,Quetta,98.09,Documents,Economy,Bus,3665.7,Delayed,Weather,3,3.0,4,0,1,5,17,20,1,0,1,0
DAW00114,2024-01-05 18:00:00,2024-01-05 19:00:00,2024-01-09 09:00:00,Peshawar,Hyderabad,60.79,Parcel,Express,Bus,3399.06,Delayed,None,3,1.0,2,1,1,5,18,19,1,0,0,0
DAW00115,2024-01-05 19:00:00,2024-01-06 00:00:00,2024-01-09 02:00:00,Peshawar,Islamabad,50.62,Parcel,Same Day,Ground,846.66,Delayed,None,3,5.0,1,1,1,5,19,0,1,0,0,1
DAW00116,2024-01-05 20:00:00,2024-01-05 22:00:00,2024-01-07 21:00:00,Hyderabad,Gujranwala,87.9,Documents,Express,Bus,2158.36,Delayed,Traffic,1,2.0,2,0,1,5,20,22,1,0,0,0
DAW00117,2024-01-05 21:00:00,2024-01-06 00:00:00,2024-01-09 05:00:00,Hyderabad,Peshawar,95.28,Documents,Express,Air,712.43,Delayed,Operational,3,3.0,2,1,1,5,21,0,1,0,0,0
DAW00118,2024-01-05 22:00:00,2024-01-05 23:00:00,2024-01-09 03:00:00,Rawalpindi,Gujranwala,75.58,Parcel,Express,Bus,4119.78,Delivered,Operational,3,1.0,2,1,1,5,22,23,1,0,0,0
DAW00119,2024-01-05 23:00:00,2024-01-06 01:00:00,2024-01-09 07:00:00,Quetta,Karachi,44.82,Parcel,Overnight,Bus,3344.83,Delivered,Weather,3,2.0,1,1,1,5,23,1,1,0,0,1
DAW00120,2024-01-06 00:00:00,2024-01-06 02:00:00,2024-01-09 01:00:00,Multan,Karachi,59.43,Parcel,Overnight,Air,2634.58,Delivered,None,2,2.0,1,1,1,6,0,2,1,0,0,1
